human,humanLabel,awardEditionLabel,awardLabel,awardWork,awardWorkLabel,director,directorLabel,time
,,69th Academy Awards,Academy Award for Best Makeup and Hairstyling,http://www.wikidata.org/entity/Q936576,The Nutty Professor,http://www.wikidata.org/entity/Q722135,Tom Shadyac,1997-03-24T00:00:00Z
,,69th Academy Awards,Academy Award for Best Foreign Language Film,http://www.wikidata.org/entity/Q1141186,Kolya,http://www.wikidata.org/entity/Q504463,Jan Svěrák,1997-03-24T00:00:00Z
,,69th Academy Awards,Academy Award for Best Original Musical or Comedy Score,http://www.wikidata.org/entity/Q1338008,Emma,http://www.wikidata.org/entity/Q3038028,Douglas McGrath,1997-03-24T00:00:00Z
,,69th Academy Awards,Academy Award for Best Documentary Feature,http://www.wikidata.org/entity/Q1779974,When We Were Kings,http://www.wikidata.org/entity/Q1818885,Leon Gast,1997-03-24T00:00:00Z
,,69th Academy Awards,"Academy Award for Best Writing, Adapted Screenplay",http://www.wikidata.org/entity/Q2264347,Sling Blade,http://www.wikidata.org/entity/Q202735,Billy Bob Thornton,1997-03-24T00:00:00Z
,,68th Academy Awards,Academy Award for Best Live Action Short Film,http://www.wikidata.org/entity/Q12125696,Lieberman in Love,http://www.wikidata.org/entity/Q232941,Christine Lahti,1996-03-25T00:00:00Z
,,68th Academy Awards,Academy Award for Best Documentary (Short Subject),http://www.wikidata.org/entity/Q5562075,One Survivor Remembers,http://www.wikidata.org/entity/Q6373828,Kary Antholis,1996-03-25T00:00:00Z
,,68th Academy Awards,Academy Award for Best Visual Effects,http://www.wikidata.org/entity/Q720724,Babe,http://www.wikidata.org/entity/Q185846,Chris Noonan,1996-03-25T00:00:00Z
,,68th Academy Awards,"Academy Award for Best Writing, Adapted Screenplay",http://www.wikidata.org/entity/Q643263,Sense and Sensibility,http://www.wikidata.org/entity/Q160726,Ang Lee,1996-03-25T00:00:00Z
,,68th Academy Awards,Academy Award for Best Director,http://www.wikidata.org/entity/Q162729,Braveheart,http://www.wikidata.org/entity/Q42229,Mel Gibson,1996-03-25T00:00:00Z
,,68th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q162729,Braveheart,http://www.wikidata.org/entity/Q42229,Mel Gibson,1996-03-25T00:00:00Z
,,68th Academy Awards,Academy Award for Best Cinematography,http://www.wikidata.org/entity/Q162729,Braveheart,http://www.wikidata.org/entity/Q42229,Mel Gibson,1996-03-25T00:00:00Z
,,68th Academy Awards,Academy Award for Best Makeup and Hairstyling,http://www.wikidata.org/entity/Q162729,Braveheart,http://www.wikidata.org/entity/Q42229,Mel Gibson,1996-03-25T00:00:00Z
,,68th Academy Awards,Academy Award for Best Sound Editing,http://www.wikidata.org/entity/Q162729,Braveheart,http://www.wikidata.org/entity/Q42229,Mel Gibson,1996-03-25T00:00:00Z
,,68th Academy Awards,Academy Award for Best Foreign Language Film,http://www.wikidata.org/entity/Q155089,Antonia's Line,http://www.wikidata.org/entity/Q435866,Marleen Gorris,1996-03-25T00:00:00Z
,,68th Academy Awards,Academy Award for Best Actor,http://www.wikidata.org/entity/Q280918,Leaving Las Vegas,http://www.wikidata.org/entity/Q710131,Mike Figgis,1996-03-25T00:00:00Z
,,68th Academy Awards,Academy Award for Best Original Dramatic Score,http://www.wikidata.org/entity/Q258647,Il Postino: The Postman,http://www.wikidata.org/entity/Q470601,Michael Radford,1996-03-25T00:00:00Z
,,68th Academy Awards,Academy Award for Best Original Screenplay,http://www.wikidata.org/entity/Q132351,The Usual Suspects,http://www.wikidata.org/entity/Q220751,Bryan Singer,1996-03-25T00:00:00Z
,,68th Academy Awards,Academy Award for Best Supporting Actor,http://www.wikidata.org/entity/Q132351,The Usual Suspects,http://www.wikidata.org/entity/Q220751,Bryan Singer,1996-03-25T00:00:00Z
,,68th Academy Awards,Academy Award for Best Sound Mixing,http://www.wikidata.org/entity/Q106428,Apollo 13,http://www.wikidata.org/entity/Q103646,Ron Howard,1996-03-25T00:00:00Z
,,68th Academy Awards,Academy Award for Best Film Editing,http://www.wikidata.org/entity/Q106428,Apollo 13,http://www.wikidata.org/entity/Q103646,Ron Howard,1996-03-25T00:00:00Z
,,68th Academy Awards,Academy Award for Best Actress,http://www.wikidata.org/entity/Q587891,Dead Man Walking,http://www.wikidata.org/entity/Q95048,Tim Robbins,1996-03-25T00:00:00Z
,,68th Academy Awards,Academy Award for Best Supporting Actress,http://www.wikidata.org/entity/Q1354109,Mighty Aphrodite,http://www.wikidata.org/entity/Q25089,Woody Allen,1996-03-25T00:00:00Z
,,68th Academy Awards,Academy Award for Best Production Design,http://www.wikidata.org/entity/Q2093029,Restoration,http://www.wikidata.org/entity/Q382599,Michael Hoffman,1996-03-25T00:00:00Z
,,68th Academy Awards,Academy Award for Best Costume Design,http://www.wikidata.org/entity/Q2093029,Restoration,http://www.wikidata.org/entity/Q382599,Michael Hoffman,1996-03-25T00:00:00Z
,,67th Academy Awards,Academy Award for Best Supporting Actor,http://www.wikidata.org/entity/Q639481,Ed Wood,http://www.wikidata.org/entity/Q56008,Tim Burton,1995-03-27T00:00:00Z
,,67th Academy Awards,Academy Award for Best Makeup and Hairstyling,http://www.wikidata.org/entity/Q639481,Ed Wood,http://www.wikidata.org/entity/Q56008,Tim Burton,1995-03-27T00:00:00Z
,,67th Academy Awards,Academy Award for Best Director,http://www.wikidata.org/entity/Q134773,Forrest Gump,http://www.wikidata.org/entity/Q187364,Robert Zemeckis,1995-03-27T00:00:00Z
,,67th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q134773,Forrest Gump,http://www.wikidata.org/entity/Q187364,Robert Zemeckis,1995-03-27T00:00:00Z
,,67th Academy Awards,"Academy Award for Best Writing, Adapted Screenplay",http://www.wikidata.org/entity/Q134773,Forrest Gump,http://www.wikidata.org/entity/Q187364,Robert Zemeckis,1995-03-27T00:00:00Z
,,67th Academy Awards,Academy Award for Best Film Editing,http://www.wikidata.org/entity/Q134773,Forrest Gump,http://www.wikidata.org/entity/Q187364,Robert Zemeckis,1995-03-27T00:00:00Z
,,67th Academy Awards,Academy Award for Best Actor,http://www.wikidata.org/entity/Q134773,Forrest Gump,http://www.wikidata.org/entity/Q187364,Robert Zemeckis,1995-03-27T00:00:00Z
,,67th Academy Awards,Academy Award for Best Visual Effects,http://www.wikidata.org/entity/Q134773,Forrest Gump,http://www.wikidata.org/entity/Q187364,Robert Zemeckis,1995-03-27T00:00:00Z
,,67th Academy Awards,Academy Award for Best Costume Design,http://www.wikidata.org/entity/Q255328,"The Adventures of Priscilla, Queen of the Desert",http://www.wikidata.org/entity/Q2094420,Stephan Elliott,1995-03-27T00:00:00Z
,,67th Academy Awards,Academy Award for Best Sound Editing,http://www.wikidata.org/entity/Q108006,Speed,http://www.wikidata.org/entity/Q376107,Jan de Bont,1995-03-27T00:00:00Z
,,67th Academy Awards,Academy Award for Best Sound Mixing,http://www.wikidata.org/entity/Q108006,Speed,http://www.wikidata.org/entity/Q376107,Jan de Bont,1995-03-27T00:00:00Z
,,67th Academy Awards,Academy Award for Best Original Screenplay,http://www.wikidata.org/entity/Q104123,Pulp Fiction,http://www.wikidata.org/entity/Q3772,Quentin Tarantino,1995-03-27T00:00:00Z
,,67th Academy Awards,Academy Award for Best Production Design,http://www.wikidata.org/entity/Q581501,The Madness of King George,http://www.wikidata.org/entity/Q967302,Nicholas Hytner,1995-03-27T00:00:00Z
,,67th Academy Awards,Academy Award for Best Cinematography,http://www.wikidata.org/entity/Q913324,Legends of the Fall,http://www.wikidata.org/entity/Q314142,Edward Zwick,1995-03-27T00:00:00Z
,,67th Academy Awards,Academy Award for Best Supporting Actress,http://www.wikidata.org/entity/Q1004531,Bullets Over Broadway,http://www.wikidata.org/entity/Q25089,Woody Allen,1995-03-27T00:00:00Z
,,67th Academy Awards,Academy Award for Best Foreign Language Film,http://www.wikidata.org/entity/Q1127167,Burnt by the Sun,http://www.wikidata.org/entity/Q55207,Nikita Mikhalkov,1995-03-27T00:00:00Z
,,67th Academy Awards,Academy Award for Best Actress,http://www.wikidata.org/entity/Q1849813,Blue Sky,http://www.wikidata.org/entity/Q52411,Tony Richardson,1995-03-27T00:00:00Z
,,67th Academy Awards,Academy Award for Best Documentary Feature,http://www.wikidata.org/entity/Q2238172,Maya Lin: A Strong Clear Vision,http://www.wikidata.org/entity/Q950808,Freida Lee Mock,1995-03-27T00:00:00Z
,,66th Academy Awards,Academy Award for Best Original Song,http://www.wikidata.org/entity/Q204057,Philadelphia,http://www.wikidata.org/entity/Q48987,Jonathan Demme,1994-03-21T00:00:00Z
,,66th Academy Awards,Academy Award for Best Actor,http://www.wikidata.org/entity/Q204057,Philadelphia,http://www.wikidata.org/entity/Q48987,Jonathan Demme,1994-03-21T00:00:00Z
,,66th Academy Awards,Academy Award for Best Sound Mixing,http://www.wikidata.org/entity/Q167726,Jurassic Park,http://www.wikidata.org/entity/Q8877,Steven Spielberg,1994-03-21T00:00:00Z
,,66th Academy Awards,Academy Award for Best Visual Effects,http://www.wikidata.org/entity/Q167726,Jurassic Park,http://www.wikidata.org/entity/Q8877,Steven Spielberg,1994-03-21T00:00:00Z
,,66th Academy Awards,Academy Award for Best Sound Editing,http://www.wikidata.org/entity/Q167726,Jurassic Park,http://www.wikidata.org/entity/Q8877,Steven Spielberg,1994-03-21T00:00:00Z
,,66th Academy Awards,Academy Award for Best Supporting Actor,http://www.wikidata.org/entity/Q156309,The Fugitive,http://www.wikidata.org/entity/Q504461,Andrew Davis,1994-03-21T00:00:00Z
,,66th Academy Awards,Academy Award for Best Original Screenplay,http://www.wikidata.org/entity/Q117315,The Piano,http://www.wikidata.org/entity/Q230448,Jane Campion,1994-03-21T00:00:00Z
,,66th Academy Awards,Academy Award for Best Actress,http://www.wikidata.org/entity/Q117315,The Piano,http://www.wikidata.org/entity/Q230448,Jane Campion,1994-03-21T00:00:00Z
,,66th Academy Awards,Academy Award for Best Supporting Actress,http://www.wikidata.org/entity/Q117315,The Piano,http://www.wikidata.org/entity/Q230448,Jane Campion,1994-03-21T00:00:00Z
,,66th Academy Awards,Academy Award for Best Makeup and Hairstyling,http://www.wikidata.org/entity/Q483852,Mrs. Doubtfire,http://www.wikidata.org/entity/Q75079,Chris Columbus,1994-03-21T00:00:00Z
,,66th Academy Awards,Academy Award for Best Original Score,http://www.wikidata.org/entity/Q483941,Schindler's List,http://www.wikidata.org/entity/Q8877,Steven Spielberg,1994-03-21T00:00:00Z
,,66th Academy Awards,"Academy Award for Best Writing, Adapted Screenplay",http://www.wikidata.org/entity/Q483941,Schindler's List,http://www.wikidata.org/entity/Q8877,Steven Spielberg,1994-03-21T00:00:00Z
,,66th Academy Awards,Academy Award for Best Film Editing,http://www.wikidata.org/entity/Q483941,Schindler's List,http://www.wikidata.org/entity/Q8877,Steven Spielberg,1994-03-21T00:00:00Z
,,66th Academy Awards,Academy Award for Best Production Design,http://www.wikidata.org/entity/Q483941,Schindler's List,http://www.wikidata.org/entity/Q8877,Steven Spielberg,1994-03-21T00:00:00Z
,,66th Academy Awards,Academy Award for Best Cinematography,http://www.wikidata.org/entity/Q483941,Schindler's List,http://www.wikidata.org/entity/Q8877,Steven Spielberg,1994-03-21T00:00:00Z
,,66th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q483941,Schindler's List,http://www.wikidata.org/entity/Q8877,Steven Spielberg,1994-03-21T00:00:00Z
,,66th Academy Awards,Academy Award for Best Director,http://www.wikidata.org/entity/Q483941,Schindler's List,http://www.wikidata.org/entity/Q8877,Steven Spielberg,1994-03-21T00:00:00Z
,,66th Academy Awards,Academy Award for Best Costume Design,http://www.wikidata.org/entity/Q1125442,The Age of Innocence,http://www.wikidata.org/entity/Q41148,Martin Scorsese,1994-03-21T00:00:00Z
,,66th Academy Awards,Academy Award for Best Documentary Feature,http://www.wikidata.org/entity/Q1655139,I Am a Promise: The Children of Stanton Elementary School,http://www.wikidata.org/entity/Q22110553,Susan Raymond,1994-03-21T00:00:00Z
,,66th Academy Awards,Academy Award for Best Foreign Language Film,http://www.wikidata.org/entity/Q1675466,Belle Époque,http://www.wikidata.org/entity/Q381934,Fernando Trueba,1994-03-21T00:00:00Z
,,65th Academy Awards,Academy Award for Best Supporting Actress,http://www.wikidata.org/entity/Q838154,My Cousin Vinny,http://www.wikidata.org/entity/Q524711,Jonathan Lynn,1993-03-29T00:00:00Z
,,65th Academy Awards,Academy Award for Best Original Screenplay,http://www.wikidata.org/entity/Q182727,The Crying Game,http://www.wikidata.org/entity/Q55428,Neil Jordan,1993-03-29T00:00:00Z
,,65th Academy Awards,Academy Award for Best Actor,http://www.wikidata.org/entity/Q321561,Scent of a Woman,http://www.wikidata.org/entity/Q363117,Martin Brest,1993-03-29T00:00:00Z
,,65th Academy Awards,Academy Award for Best Sound Mixing,http://www.wikidata.org/entity/Q144483,The Last of the Mohicans,http://www.wikidata.org/entity/Q270097,Michael Mann,1993-03-29T00:00:00Z
,,65th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q104137,Unforgiven,http://www.wikidata.org/entity/Q43203,Clint Eastwood,1993-03-29T00:00:00Z
,,65th Academy Awards,Academy Award for Best Director,http://www.wikidata.org/entity/Q104137,Unforgiven,http://www.wikidata.org/entity/Q43203,Clint Eastwood,1993-03-29T00:00:00Z
,,65th Academy Awards,Academy Award for Best Film Editing,http://www.wikidata.org/entity/Q104137,Unforgiven,http://www.wikidata.org/entity/Q43203,Clint Eastwood,1993-03-29T00:00:00Z
,,65th Academy Awards,Academy Award for Best Supporting Actor,http://www.wikidata.org/entity/Q104137,Unforgiven,http://www.wikidata.org/entity/Q43203,Clint Eastwood,1993-03-29T00:00:00Z
,,65th Academy Awards,Academy Award for Best Cinematography,http://www.wikidata.org/entity/Q581906,A River Runs Through It,http://www.wikidata.org/entity/Q59215,Robert Redford,1993-03-29T00:00:00Z
,,65th Academy Awards,Academy Award for Best Actress,http://www.wikidata.org/entity/Q913389,Howards End,http://www.wikidata.org/entity/Q51577,James Ivory,1993-03-29T00:00:00Z
,,65th Academy Awards,"Academy Award for Best Writing, Adapted Screenplay",http://www.wikidata.org/entity/Q913389,Howards End,http://www.wikidata.org/entity/Q51577,James Ivory,1993-03-29T00:00:00Z
,,65th Academy Awards,Academy Award for Best Production Design,http://www.wikidata.org/entity/Q913389,Howards End,http://www.wikidata.org/entity/Q51577,James Ivory,1993-03-29T00:00:00Z
,,65th Academy Awards,Academy Award for Best Foreign Language Film,http://www.wikidata.org/entity/Q1130644,Indochine,http://www.wikidata.org/entity/Q951570,Régis Wargnier,1993-03-29T00:00:00Z
,,65th Academy Awards,Academy Award for Best Visual Effects,http://www.wikidata.org/entity/Q1160186,Death Becomes Her,http://www.wikidata.org/entity/Q187364,Robert Zemeckis,1993-03-29T00:00:00Z
,,65th Academy Awards,Academy Award for Best Documentary Feature,http://www.wikidata.org/entity/Q3101752,The Panama Deception,http://www.wikidata.org/entity/Q22111781,Barbara Trent,1993-03-29T00:00:00Z
,,64th Academy Awards,Academy Award for Best Cinematography,http://www.wikidata.org/entity/Q741823,JFK,http://www.wikidata.org/entity/Q179497,Oliver Stone,1992-03-30T00:00:00Z
,,64th Academy Awards,Academy Award for Best Film Editing,http://www.wikidata.org/entity/Q741823,JFK,http://www.wikidata.org/entity/Q179497,Oliver Stone,1992-03-30T00:00:00Z
,,64th Academy Awards,Academy Award for Best Foreign Language Film,http://www.wikidata.org/entity/Q661660,Mediterraneo,http://www.wikidata.org/entity/Q55465,Gabriele Salvatores,1992-03-30T00:00:00Z
,,64th Academy Awards,Academy Award for Best Original Screenplay,http://www.wikidata.org/entity/Q658041,Thelma & Louise,http://www.wikidata.org/entity/Q56005,Ridley Scott,1992-03-30T00:00:00Z
,,64th Academy Awards,Academy Award for Best Sound Mixing,http://www.wikidata.org/entity/Q170564,Terminator 2: Judgment Day,http://www.wikidata.org/entity/Q42574,James Cameron,1992-03-30T00:00:00Z
,,64th Academy Awards,Academy Award for Best Visual Effects,http://www.wikidata.org/entity/Q170564,Terminator 2: Judgment Day,http://www.wikidata.org/entity/Q42574,James Cameron,1992-03-30T00:00:00Z
,,64th Academy Awards,Academy Award for Best Makeup and Hairstyling,http://www.wikidata.org/entity/Q170564,Terminator 2: Judgment Day,http://www.wikidata.org/entity/Q42574,James Cameron,1992-03-30T00:00:00Z
,,64th Academy Awards,Academy Award for Best Sound Editing,http://www.wikidata.org/entity/Q170564,Terminator 2: Judgment Day,http://www.wikidata.org/entity/Q42574,James Cameron,1992-03-30T00:00:00Z
,,64th Academy Awards,Academy Award for Best Production Design,http://www.wikidata.org/entity/Q241085,Bugsy,http://www.wikidata.org/entity/Q269692,Barry Levinson,1992-03-30T00:00:00Z
,,64th Academy Awards,Academy Award for Best Costume Design,http://www.wikidata.org/entity/Q241085,Bugsy,http://www.wikidata.org/entity/Q269692,Barry Levinson,1992-03-30T00:00:00Z
,,64th Academy Awards,Academy Award for Best Director,http://www.wikidata.org/entity/Q133654,The Silence of the Lambs,http://www.wikidata.org/entity/Q48987,Jonathan Demme,1992-03-30T00:00:00Z
,,64th Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q133654,The Silence of the Lambs,http://www.wikidata.org/entity/Q48987,Jonathan Demme,1992-03-30T00:00:00Z
,,64th Academy Awards,Academy Award for Best Actress,http://www.wikidata.org/entity/Q133654,The Silence of the Lambs,http://www.wikidata.org/entity/Q48987,Jonathan Demme,1992-03-30T00:00:00Z
,,64th Academy Awards,Academy Award for Best Actor,http://www.wikidata.org/entity/Q133654,The Silence of the Lambs,http://www.wikidata.org/entity/Q48987,Jonathan Demme,1992-03-30T00:00:00Z
,,64th Academy Awards,"Academy Award for Best Writing, Adapted Screenplay",http://www.wikidata.org/entity/Q133654,The Silence of the Lambs,http://www.wikidata.org/entity/Q48987,Jonathan Demme,1992-03-30T00:00:00Z
,,64th Academy Awards,Academy Award for Best Supporting Actress,http://www.wikidata.org/entity/Q466297,The Fisher King,http://www.wikidata.org/entity/Q25078,Terry Gilliam,1992-03-30T00:00:00Z
,,64th Academy Awards,Academy Award for Best Supporting Actor,http://www.wikidata.org/entity/Q1094020,City Slickers,http://www.wikidata.org/entity/Q1303837,Ron Underwood,1992-03-30T00:00:00Z
,,64th Academy Awards,Academy Award for Best Documentary Feature,http://www.wikidata.org/entity/Q2250908,In the Shadow of the Stars,http://www.wikidata.org/entity/Q1364870,Irving Saraf,1992-03-30T00:00:00Z
,,63rd Academy Awards,Academy Award for Best Actress,http://www.wikidata.org/entity/Q725552,Misery,http://www.wikidata.org/entity/Q287607,Rob Reiner,1991-03-25T00:00:00Z
,,63rd Academy Awards,Academy Award for Best Foreign Language Film,http://www.wikidata.org/entity/Q675112,Journey of Hope,http://www.wikidata.org/entity/Q594382,Xavier Koller,1991-03-25T00:00:00Z
,,63rd Academy Awards,Academy Award for Best Costume Design,http://www.wikidata.org/entity/Q128982,Cyrano de Bergerac,http://www.wikidata.org/entity/Q709973,Jean-Paul Rappeneau,1991-03-25T00:00:00Z
,,63rd Academy Awards,Academy Award for Best Original Screenplay,http://www.wikidata.org/entity/Q49003,Ghost,http://www.wikidata.org/entity/Q363666,Jerry Zucker,1991-03-25T00:00:00Z
,,63rd Academy Awards,Academy Award for Best Supporting Actress,http://www.wikidata.org/entity/Q49003,Ghost,http://www.wikidata.org/entity/Q363666,Jerry Zucker,1991-03-25T00:00:00Z
,,63rd Academy Awards,Academy Award for Best Supporting Actor,http://www.wikidata.org/entity/Q42047,Goodfellas,http://www.wikidata.org/entity/Q41148,Martin Scorsese,1991-03-25T00:00:00Z
,,63rd Academy Awards,Academy Award for Best Director,http://www.wikidata.org/entity/Q20456,Dances with Wolves,http://www.wikidata.org/entity/Q11930,Kevin Costner,1991-03-25T00:00:00Z
,,63rd Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q20456,Dances with Wolves,http://www.wikidata.org/entity/Q11930,Kevin Costner,1991-03-25T00:00:00Z
,,63rd Academy Awards,Academy Award for Best Cinematography,http://www.wikidata.org/entity/Q20456,Dances with Wolves,http://www.wikidata.org/entity/Q11930,Kevin Costner,1991-03-25T00:00:00Z
,,63rd Academy Awards,Academy Award for Best Film Editing,http://www.wikidata.org/entity/Q20456,Dances with Wolves,http://www.wikidata.org/entity/Q11930,Kevin Costner,1991-03-25T00:00:00Z
,,63rd Academy Awards,"Academy Award for Best Writing, Adapted Screenplay",http://www.wikidata.org/entity/Q20456,Dances with Wolves,http://www.wikidata.org/entity/Q11930,Kevin Costner,1991-03-25T00:00:00Z
,,63rd Academy Awards,Academy Award for Best Original Score,http://www.wikidata.org/entity/Q20456,Dances with Wolves,http://www.wikidata.org/entity/Q11930,Kevin Costner,1991-03-25T00:00:00Z
,,63rd Academy Awards,Academy Award for Best Sound Mixing,http://www.wikidata.org/entity/Q20456,Dances with Wolves,http://www.wikidata.org/entity/Q11930,Kevin Costner,1991-03-25T00:00:00Z
,,63rd Academy Awards,Academy Award for Best Documentary Feature,http://www.wikidata.org/entity/Q463994,American Dream,http://www.wikidata.org/entity/Q449349,Barbara Kopple,1991-03-25T00:00:00Z
,,63rd Academy Awards,Academy Award for Best Sound Editing,http://www.wikidata.org/entity/Q507994,The Hunt for Red October,http://www.wikidata.org/entity/Q270639,John McTiernan,1991-03-25T00:00:00Z
,,63rd Academy Awards,Academy Award for Best Makeup and Hairstyling,http://www.wikidata.org/entity/Q1209853,Dick Tracy,http://www.wikidata.org/entity/Q95030,Warren Beatty,1991-03-25T00:00:00Z
,,63rd Academy Awards,Academy Award for Best Production Design,http://www.wikidata.org/entity/Q1209853,Dick Tracy,http://www.wikidata.org/entity/Q95030,Warren Beatty,1991-03-25T00:00:00Z
,,63rd Academy Awards,Academy Award for Best Actor,http://www.wikidata.org/entity/Q1210973,Reversal of Fortune,http://www.wikidata.org/entity/Q504627,Barbet Schroeder,1991-03-25T00:00:00Z
,,62nd Academy Awards,Academy Award for Best Actor,http://www.wikidata.org/entity/Q746574,My Left Foot,http://www.wikidata.org/entity/Q55429,Jim Sheridan,1990-03-26T00:00:00Z
,,62nd Academy Awards,Academy Award for Best Supporting Actress,http://www.wikidata.org/entity/Q746574,My Left Foot,http://www.wikidata.org/entity/Q55429,Jim Sheridan,1990-03-26T00:00:00Z
,,62nd Academy Awards,Academy Award for Best Sound Editing,http://www.wikidata.org/entity/Q185658,Indiana Jones and the Last Crusade,http://www.wikidata.org/entity/Q8877,Steven Spielberg,1990-03-26T00:00:00Z
,,62nd Academy Awards,Academy Award for Best Visual Effects,http://www.wikidata.org/entity/Q336517,The Abyss,http://www.wikidata.org/entity/Q42574,James Cameron,1990-03-26T00:00:00Z
,,62nd Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q211373,Driving Miss Daisy,http://www.wikidata.org/entity/Q449220,Bruce Beresford,1990-03-26T00:00:00Z
,,62nd Academy Awards,Academy Award for Best Actress,http://www.wikidata.org/entity/Q211373,Driving Miss Daisy,http://www.wikidata.org/entity/Q449220,Bruce Beresford,1990-03-26T00:00:00Z
,,62nd Academy Awards,Academy Award for Best Makeup and Hairstyling,http://www.wikidata.org/entity/Q211373,Driving Miss Daisy,http://www.wikidata.org/entity/Q449220,Bruce Beresford,1990-03-26T00:00:00Z
,,62nd Academy Awards,"Academy Award for Best Writing, Adapted Screenplay",http://www.wikidata.org/entity/Q211373,Driving Miss Daisy,http://www.wikidata.org/entity/Q449220,Bruce Beresford,1990-03-26T00:00:00Z
,,62nd Academy Awards,Academy Award for Best Production Design,http://www.wikidata.org/entity/Q116852,Batman,http://www.wikidata.org/entity/Q56008,Tim Burton,1990-03-26T00:00:00Z
,,62nd Academy Awards,Academy Award for Best Costume Design,http://www.wikidata.org/entity/Q114115,Henry V,http://www.wikidata.org/entity/Q55294,Kenneth Branagh,1990-03-26T00:00:00Z
,,62nd Academy Awards,Academy Award for Best Original Screenplay,http://www.wikidata.org/entity/Q106316,Dead Poets Society,http://www.wikidata.org/entity/Q55424,Peter Weir,1990-03-26T00:00:00Z
,,62nd Academy Awards,Academy Award for Best Foreign Language Film,http://www.wikidata.org/entity/Q464032,Cinema Paradiso,http://www.wikidata.org/entity/Q53045,Giuseppe Tornatore,1990-03-26T00:00:00Z
,,62nd Academy Awards,Academy Award for Best Film Editing,http://www.wikidata.org/entity/Q471159,Born on the Fourth of July,http://www.wikidata.org/entity/Q179497,Oliver Stone,1990-03-26T00:00:00Z
,,62nd Academy Awards,Academy Award for Best Director,http://www.wikidata.org/entity/Q471159,Born on the Fourth of July,http://www.wikidata.org/entity/Q179497,Oliver Stone,1990-03-26T00:00:00Z
,,62nd Academy Awards,Academy Award for Best Supporting Actor,http://www.wikidata.org/entity/Q862317,Glory,http://www.wikidata.org/entity/Q314142,Edward Zwick,1990-03-26T00:00:00Z
,,62nd Academy Awards,Academy Award for Best Sound Mixing,http://www.wikidata.org/entity/Q862317,Glory,http://www.wikidata.org/entity/Q314142,Edward Zwick,1990-03-26T00:00:00Z
,,62nd Academy Awards,Academy Award for Best Cinematography,http://www.wikidata.org/entity/Q862317,Glory,http://www.wikidata.org/entity/Q314142,Edward Zwick,1990-03-26T00:00:00Z
,,62nd Academy Awards,Academy Award for Best Documentary Feature,http://www.wikidata.org/entity/Q965200,Common Threads: Stories from the Quilt,http://www.wikidata.org/entity/Q722032,Jeffrey Friedman,1990-03-26T00:00:00Z
,,61st Academy Awards,Academy Award for Best Production Design,http://www.wikidata.org/entity/Q830553,Dangerous Liaisons,http://www.wikidata.org/entity/Q55258,Stephen Frears,1989-03-29T00:00:00Z
,,61st Academy Awards,Academy Award for Best Costume Design,http://www.wikidata.org/entity/Q830553,Dangerous Liaisons,http://www.wikidata.org/entity/Q55258,Stephen Frears,1989-03-29T00:00:00Z
,,61st Academy Awards,"Academy Award for Best Writing, Adapted Screenplay",http://www.wikidata.org/entity/Q830553,Dangerous Liaisons,http://www.wikidata.org/entity/Q55258,Stephen Frears,1989-03-29T00:00:00Z
,,61st Academy Awards,Academy Award for Best Director,http://www.wikidata.org/entity/Q188845,Rain Man,http://www.wikidata.org/entity/Q269692,Barry Levinson,1989-03-29T00:00:00Z
,,61st Academy Awards,Academy Award for Best Picture,http://www.wikidata.org/entity/Q188845,Rain Man,http://www.wikidata.org/entity/Q269692,Barry Levinson,1989-03-29T00:00:00Z
,,61st Academy Awards,Academy Award for Best Original Screenplay,http://www.wikidata.org/entity/Q188845,Rain Man,http://www.wikidata.org/entity/Q269692,Barry Levinson,1989-03-29T00:00:00Z
,,61st Academy Awards,Academy Award for Best Actor,http://www.wikidata.org/entity/Q188845,Rain Man,http://www.wikidata.org/entity/Q269692,Barry Levinson,1989-03-29T00:00:00Z
,,61st Academy Awards,Academy Award for Best Foreign Language Film,http://www.wikidata.org/entity/Q370707,Pelle the Conqueror,http://www.wikidata.org/entity/Q315062,Bille August,1989-03-29T00:00:00Z
,,61st Academy Awards,Academy Award for Best Makeup and Hairstyling,http://www.wikidata.org/entity/Q320384,Beetlejuice,http://www.wikidata.org/entity/Q56008,Tim Burton,1989-03-29T00:00:00Z
,,61st Academy Awards,Academy Award for Best Supporting Actress,http://www.wikidata.org/entity/Q248289,The Accidental Tourist,http://www.wikidata.org/entity/Q240872,Lawrence Kasdan,1989-03-29T00:00:00Z
,,61st Academy Awards,Academy Award for Best Documentary Feature,http://www.wikidata.org/entity/Q464088,Hôtel Terminus: The Life and Times of Klaus Barbie,http://www.wikidata.org/entity/Q711420,Marcel Ophüls,1989-03-29T00:00:00Z
,,61st Academy Awards,Academy Award for Best Supporting Actor,http://www.wikidata.org/entity/Q466186,A Fish Called Wanda,http://www.wikidata.org/entity/Q25014,John Cleese,1989-03-29T00:00:00Z
